Code,Signature,Group,Limits,Monday,Tuesday,Wednesday,Thursday,Friday
19,SISTEMAS DE CONTROL ( E),A,De:,2021-06-01 00:00:00,2021-06-01 00:00:00,2021-06-01 10:40:00,2021-06-01 00:00:00,2021-06-01 00:00:00
19,SISTEMAS DE CONTROL ( E),A,A:,2021-06-01 00:00:00,2021-06-01 00:00:00,2021-06-01 12:20:00,2021-06-01 00:00:00,2021-06-01 00:00:00
19,SISTEMAS DE CONTROL ( E),A,De:,2021-06-01 17:40:00,2021-06-01 00:00:00,2021-06-01 00:00:00,2021-06-01 00:00:00,2021-06-01 00:00:00
19,SISTEMAS DE CONTROL ( E),A,A:,2021-06-01 19:20:00,2021-06-01 00:00:00,2021-06-01 00:00:00,2021-06-01 00:00:00,2021-06-01 00:00:00
20,SISTEMAS DE CONTROL ( E),B,De:,2021-06-01 16:40:00,2021-06-01 00:00:00,2021-06-01 00:00:00,2021-06-01 00:00:00,2021-06-01 00:00:00
20,SISTEMAS DE CONTROL ( E),B,A:,2021-06-01 18:30:00,2021-06-01 00:00:00,2021-06-01 00:00:00,2021-06-01 00:00:00,2021-06-01 00:00:00
20,SISTEMAS DE CONTROL ( E),B,De:,2021-06-01 00:00:00,2021-06-01 13:10:00,2021-06-01 00:00:00,2021-06-01 00:00:00,2021-06-01 00:00:00
20,SISTEMAS DE CONTROL ( E),B,A:,2021-06-01 00:00:00,2021-06-01 14:50:00,2021-06-01 00:00:00,2021-06-01 00:00:00,2021-06-01 00:00:00
21,SISTEMAS DE CONTROL ( E),C,De:,2021-06-01 00:00:00,2021-06-01 00:00:00,2021-06-01 00:00:00,2021-06-01 09:40:00,2021-06-01 00:00:00
21,SISTEMAS DE CONTROL ( E),C,A:,2021-06-01 00:00:00,2021-06-01 00:00:00,2021-06-01 00:00:00,2021-06-01 11:30:00,2021-06-01 00:00:00
21,SISTEMAS DE CONTROL ( E),C,De:,2021-06-01 10:40:00,2021-06-01 00:00:00,2021-06-01 00:00:00,2021-06-01 00:00:00,2021-06-01 00:00:00
21,SISTEMAS DE CONTROL ( E),C,A:,2021-06-01 12:20:00,2021-06-01 00:00:00,2021-06-01 00:00:00,2021-06-01 00:00:00,2021-06-01 00:00:00
